title,price,pay_count,cluster,cluster_name
【旗舰新品 现货速发】威图VERTU纬图 AGENT Q奢品直面屏AI智能体<span class=H>手机</span>  安全加密三系统 礼品送礼 24期免息,29422.0,30,0,小众潜力款
【256GB升杯512GB】Samsung/三星 Galaxy Z Fold7超轻薄折叠屏旗舰AI<span class=H>手机</span> 2亿像素 骁龙8至尊版,13499.0,4000,2,高端溢价款
【国家补贴至高立省15%】vivo Y300t<span class=H>手机</span>5G轻薄6500毫安时44W闪充大内存天玑7300耐用<span class=H>手机</span>官网正品,951.15,30000,2,高端溢价款
【享15%国补】vivo iQOO 15新品第五代骁龙8至尊版2K三星屏国补游戏<span class=H>手机</span>iQOO官方旗舰店官网正品vivoiqoo15,3699.0,40000,2,高端溢价款
新品上市OPPO Find X9旗舰正品新款孙颖莎同款4K超清实况照片天玑9500,3724.61,10000,2,高端溢价款
新品上市OPPOReno15正品新款学生智能宋雨琦精致小直屏2亿,2396.15,40000,2,高端溢价款
【国家补贴至高省500元】vivo S50 学生拍照大电池<span class=H>手机</span> vivo<span class=H>手机</span>官方旗舰店正品官网新款s30,2549.15,0,0,小众潜力款
【至高享6期免息】REDMI K90红米k90<span class=H>手机</span>官方旗舰店游戏拍照学生旗舰智能小米<span class=H>手机</span>红米<span class=H>手机</span>redmik90,2182.33,40000,2,高端溢价款
Apple/苹果 iPhone 17 Pro<span class=H>手机</span> 5G全网通 2025新品官网全新原封正品<span class=H>手机</span>,8549.05,10000,2,高端溢价款
vivo iQOO Z10x官网正品新款大电池iQOO官方旗舰店国家补贴<span class=H>手机</span>入口学生老人智能,845.77,30000,2,高端溢价款
新品上市一加 15 第五代骁龙8至尊版性能旗舰<span class=H>手机</span>高刷电竞游戏,3499.0,10000,2,高端溢价款
威图【女王节礼物 历史底价5折】VERTU 纬图META1双曲屏奢品双系统隐私安全加密AI智能体<span class=H>手机</span>5G商务智能礼盒,10520.0,88,0,小众潜力款
政府补贴 OPPO一加Turbo6电竞三芯9000mAh冰川电池AI游戏<span class=H>手机</span>一加官方,1784.15,3000,2,高端溢价款
iKKO MindOne 卡片AI<span class=H>手机</span>小屏便携AI工具双系统索尼5000万翻转镜头,2899.0,1000,2,高端溢价款
Apple/苹果 iPhone 14 Pro Max 新机 苹果14promax 原封正品<span class=H>手机</span>,2799.0,800,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span>,5967.45,0,0,小众潜力款
【12期免息】Apple/苹果 iPhone 17 Pro Max <span class=H>手机</span> A19 Pro 芯片 2025 新款 全新未拆封 官方正品 多仓速发,9999.0,5000,2,高端溢价款
【至高优惠569元】Samsung/三星 Galaxy A56 5G智能拍照<span class=H>手机</span>官方旗舰店正品 设计轻薄时尚游戏<span class=H>手机</span>,2209.15,5000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro <span class=H>手机</span> A19 Pro 芯片 2025新款 全国联保 游戏拍照 支持淘金币,8999.0,1000,2,高端溢价款
【享全国10%国补】REDMI Turbo 5 Max新品红米<span class=H>手机</span>小米<span class=H>手机</span>小米官方旗舰店官网新品正品红米turbo5max,1869.15,30000,2,高端溢价款
【官方正品】跑骑手外卖员专用智能<span class=H>手机</span>军工三防电霸大电池容量超长续航待机5G全网通防水防摔户外防爆备用机,841.0,26,0,小众潜力款
【12期免息】Apple/苹果 iPhone 17 <span class=H>手机</span> A19芯片 2025新款 全新原封 顺丰包邮 支持淘金币 国家补贴,5967.45,3000,2,高端溢价款
【12期免息】Apple/苹果 iPhone 17 Pro Max <span class=H>手机</span>,9967.45,0,0,小众潜力款
